Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 91.0.4472.124,,,2021-07-12 13:35:42,2021-07-12 13:36:22,"40,452s",PASSED
,,,,,,,
Test Cases/Test 1 by Tom,Chrome 91.0.4472.124,,,2021-07-12 13:35:42,2021-07-12 13:36:10,"28,136s",PASSED
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-07-12 13:35:43,2021-07-12 13:35:53,"10,328s",PASSED
"navigateToUrl(""https://comptatest.odoo.com/web/login"")",Chrome 91.0.4472.124,,,2021-07-12 13:35:53,2021-07-12 13:35:59,"6,263s",PASSED
"setText(findTestObject(""Object Repository/Page_Odoo/input_Email_login""), ""djibrildiouf701@gmail.com"")",Chrome 91.0.4472.124,,,2021-07-12 13:36:00,2021-07-12 13:36:01,"1,145s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Odoo/input_Mot de passe_password""), ""ESS0v/OuQa+DMSYX2A5JYA=="")",Chrome 91.0.4472.124,,,2021-07-12 13:36:01,2021-07-12 13:36:02,"1,039s",PASSED
"click(findTestObject(""Object Repository/Page_Odoo/button_Connexion""))",Chrome 91.0.4472.124,,,2021-07-12 13:36:02,2021-07-12 13:36:07,"5,131s",PASSED
closeBrowser(),Chrome 91.0.4472.124,,,2021-07-12 13:36:07,2021-07-12 13:36:10,"3,637s",PASSED
,,,,,,,
Test Cases/Test 2 by Kim,Chrome 91.0.4472.124,,,2021-07-12 13:36:10,2021-07-12 13:36:22,"11,643s",PASSED
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-07-12 13:36:11,2021-07-12 13:36:15,"4,144s",PASSED
"navigateToUrl(""https://docs.katalon.com/katalon-studio/docs/overview.html"")",Chrome 91.0.4472.124,,,2021-07-12 13:36:15,2021-07-12 13:36:21,"5,703s",PASSED
closeBrowser(),Chrome 91.0.4472.124,,,2021-07-12 13:36:21,2021-07-12 13:36:22,"1,134s",PASSED
