Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 91.0.4472.124,,,2021-07-12 13:48:43,2021-07-12 13:49:14,"31,019s",PASSED
,,,,,,,
Test Cases/Test 1 by Tom,Chrome 91.0.4472.124,,,2021-07-12 13:48:44,2021-07-12 13:49:02,"18,109s",PASSED
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-07-12 13:48:44,2021-07-12 13:48:49,"4,635s",PASSED
"navigateToUrl(""https://comptatest.odoo.com/web/login"")",Chrome 91.0.4472.124,,,2021-07-12 13:48:49,2021-07-12 13:48:55,"5,752s",PASSED
"setText(findTestObject(""Object Repository/Page_Odoo/input_Email_login""), ""djibrildiouf701@gmail.com"")",Chrome 91.0.4472.124,,,2021-07-12 13:48:55,2021-07-12 13:48:57,"1,998s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Odoo/input_Mot de passe_password""), ""ESS0v/OuQa+DMSYX2A5JYA=="")",Chrome 91.0.4472.124,,,2021-07-12 13:48:57,2021-07-12 13:48:57,"0,566s",PASSED
"click(findTestObject(""Object Repository/Page_Odoo/button_Connexion""))",Chrome 91.0.4472.124,,,2021-07-12 13:48:57,2021-07-12 13:49:00,"3,021s",PASSED
closeBrowser(),Chrome 91.0.4472.124,,,2021-07-12 13:49:00,2021-07-12 13:49:02,"1,518s",PASSED
,,,,,,,
Test Cases/Test 2 by Kim,Chrome 91.0.4472.124,,,2021-07-12 13:49:02,2021-07-12 13:49:14,"12,337s",PASSED
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-07-12 13:49:02,2021-07-12 13:49:04,"2,094s",PASSED
"navigateToUrl(""https://docs.katalon.com/katalon-studio/docs/overview.html"")",Chrome 91.0.4472.124,,,2021-07-12 13:49:04,2021-07-12 13:49:11,"6,299s",PASSED
closeBrowser(),Chrome 91.0.4472.124,,,2021-07-12 13:49:11,2021-07-12 13:49:14,"3,566s",PASSED
