Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 91.0.4472.124,,,2021-07-13 13:22:59,2021-07-13 13:23:30,"30,682s",PASSED
,,,,,,,
Test Cases/Test 1 by Tom,Chrome 91.0.4472.124,,,2021-07-13 13:23:00,2021-07-13 13:23:17,"16,693s",PASSED
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-07-13 13:23:00,2021-07-13 13:23:04,"3,972s",PASSED
"navigateToUrl(""https://comptatest.odoo.com/web/login"")",Chrome 91.0.4472.124,,,2021-07-13 13:23:04,2021-07-13 13:23:10,"5,744s",PASSED
"setText(findTestObject(""Object Repository/Page_Odoo/input_Email_login""), ""djibrildiouf701@gmail.com"")",Chrome 91.0.4472.124,,,2021-07-13 13:23:10,2021-07-13 13:23:12,"1,787s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Odoo/input_Mot de passe_password""), ""ESS0v/OuQa+DMSYX2A5JYA=="")",Chrome 91.0.4472.124,,,2021-07-13 13:23:12,2021-07-13 13:23:12,"0,553s",PASSED
"click(findTestObject(""Object Repository/Page_Odoo/button_Connexion""))",Chrome 91.0.4472.124,,,2021-07-13 13:23:12,2021-07-13 13:23:16,"3,182s",PASSED
closeBrowser(),Chrome 91.0.4472.124,,,2021-07-13 13:23:16,2021-07-13 13:23:17,"0,902s",PASSED
,,,,,,,
Test Cases/Test 2 by Kim,Chrome 91.0.4472.124,,,2021-07-13 13:23:17,2021-07-13 13:23:30,"13,420s",PASSED
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-07-13 13:23:17,2021-07-13 13:23:19,"1,727s",PASSED
"navigateToUrl(""https://docs.katalon.com/katalon-studio/docs/overview.html"")",Chrome 91.0.4472.124,,,2021-07-13 13:23:19,2021-07-13 13:23:27,"8,181s",PASSED
closeBrowser(),Chrome 91.0.4472.124,,,2021-07-13 13:23:27,2021-07-13 13:23:30,"3,140s",PASSED
