Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 91.0.4472.124,,,2021-07-12 13:39:24,2021-07-12 13:39:54,"29,576s",PASSED
,,,,,,,
Test Cases/Test 1 by Tom,Chrome 91.0.4472.124,,,2021-07-12 13:39:25,2021-07-12 13:39:44,"18,554s",PASSED
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-07-12 13:39:26,2021-07-12 13:39:30,"4,215s",PASSED
"navigateToUrl(""https://comptatest.odoo.com/web/login"")",Chrome 91.0.4472.124,,,2021-07-12 13:39:30,2021-07-12 13:39:37,"7,060s",PASSED
"setText(findTestObject(""Object Repository/Page_Odoo/input_Email_login""), ""djibrildiouf701@gmail.com"")",Chrome 91.0.4472.124,,,2021-07-12 13:39:37,2021-07-12 13:39:39,"1,742s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Odoo/input_Mot de passe_password""), ""ESS0v/OuQa+DMSYX2A5JYA=="")",Chrome 91.0.4472.124,,,2021-07-12 13:39:39,2021-07-12 13:39:39,"0,687s",PASSED
"click(findTestObject(""Object Repository/Page_Odoo/button_Connexion""))",Chrome 91.0.4472.124,,,2021-07-12 13:39:39,2021-07-12 13:39:43,"3,259s",PASSED
closeBrowser(),Chrome 91.0.4472.124,,,2021-07-12 13:39:43,2021-07-12 13:39:44,"1,002s",PASSED
,,,,,,,
Test Cases/Test 2 by Kim,Chrome 91.0.4472.124,,,2021-07-12 13:39:44,2021-07-12 13:39:54,"10,376s",PASSED
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-07-12 13:39:44,2021-07-12 13:39:46,"2,433s",PASSED
"navigateToUrl(""https://docs.katalon.com/katalon-studio/docs/overview.html"")",Chrome 91.0.4472.124,,,2021-07-12 13:39:46,2021-07-12 13:39:52,"5,775s",PASSED
closeBrowser(),Chrome 91.0.4472.124,,,2021-07-12 13:39:52,2021-07-12 13:39:54,"1,845s",PASSED
